,Description,Name
1504,"Provides international students with opportunities to improve skills in effectively presenting research in both oral and written formats in preparation for the professional conference presentation process. Students will practice orally explaining their research, asking and answering questions, giving and receiving feedback, and writing a conference proposal with the aim of creating and delivering compelling, professional presentations. 0 graduate hours. No professional credit. Approved for S/U grading only. Credit is not given toward a graduate degree.",ESL 593
1505,"Examples, problems, discussions, and laboratory exercises pointing to present and potential engineering applications in agriculture; emphasis on power and machinery, soil and water control, electricity, and structures.",ETMA 100
1506,Covers the basic concepts of project management software. Students will learn introductory features of project management software and utilize these features to complete class projects.,ETMA 132
1507,"Selecting and using wiring materials, electric motors and controls in lighting, heating, ventilation, and materials handling problems. Includes laboratory. Prerequisite: ETMA 100.",ETMA 234
1508,"Performance, costs, application, selection, and replacement of agricultural machinery and field implements; analysis of mechanized field operations. Includes laboratory.",ETMA 262
1509,"The human food web is the complex network of technologies, environments, people, and social institutions that produces, processes, and distributes the world's food supply. Students will study the food webs of the past, present, and future and will explore various human roles, including their own, in the global technology-environment-society-food system. Course topics include domestication, mechanization, urbanization, the green revolution, biotechnology, food safety, the environment, and appropriate technologies for developing countries. Additional fees may apply. See Class Schedule.",ETMA 311
1510,"Covers foundational skills in applied data analysis with a primary focus on optimization. Concepts related to sensors and data will first be discussed followed by data acquisition and basic digital signal processing. Foundations of optimization will be introduced with an emphasis on application. This will include linear and non-linear, single and multiple objective, spatial, and stochastic optimization methods. Assignments will contain real world examples in the topic areas of agriculture, construction, manufacturing, and the environment. Prerequisite: MATH 234 or equivalent; ACE 262, ECON 202, CPSC 241, or STAT 107; and CS 105 or equivalent; or consent of the instructor.",ETMA 339
1511,"Emphasizes basic principles of fluid power systems related to off-road vehicles. Topics include fundamentals of fluid power systems, principles of key fluid power components, and maintenance of fluid power systems. Credit is not given for both TSM 363 and ABE 223.",ETMA 363
1512,"Principles and practices in residential housing; space planning, house types, structures, materials, utilities, environmental control, energy conservation, remodeling, and economic influences. Includes laboratory.",ETMA 371
1513,"Grain drying fundamentals, air-moisture relationships, grain drying systems for efficient energy use, fans, grain-handling devices and systems, planning of grain handling systems, grain standards, moisture measurement, grain storage, fungi and insect problems, aeration, processing and milling of corn and soybeans. Includes laboratory.",ETMA 381
1514,"Individual research, special problems, thesis, development and/or design work under the direction of the Honors advisor. May be repeated if topics vary up to 6 hours in the same semesters, to a maximum of 12 hours in separate semesters. Prerequisite: Junior standing, admission to the ACES Honors Program, and consent of instructor.",ETMA 396
1515,"Issues associated with industrial and agricultural injuries and effective interventions. Areas include: industrial and agricultural injury situations; injury causation; injury intervention strategies and their applications to agricultural and industrial issues; and, specific safety issues in the areas of machinery, grain and forage systems, animals, materials handling and storage, electricity, fire safety, special populations, and emergency preparedness. 3 undergraduate hours. 3 graduate hours.",ETMA 421
1516,"Primary elements of effective occupational safety and health management plans applicable to any work place including farms. Topics include: orientation to major agricultural and general industry safety and health issues, legal and ethical responsibilities, liability issues, injury/illness incident investigation, safety and health resources, how to approach and organize a safety and health management plan, and safety and health worker education and training. Case study approach and student team work to devise safety and health management plans for existing businesses or farms. 3 undergraduate hours. 3 graduate hours. Prerequisite: Credit or concurrent registration in ETMA 421 or ETMA 422, or consent of instructor.",ETMA 425
1517,"Renewable energy sources and applications, including solar, geothermal, wind, and biomass. Environmental consequences of energy conversion including how renewable energy can reduce air pollution and global climate change. Economics of alternative energy systems. 3 undergraduate hours. 3 graduate hours. Credit is not given for both ETMA 438 and ABE 436. Prerequisite: Restricted to Junior, Senior or Graduate students.",ETMA 438
1518,"Develop solutions to real-world problems by demonstrating and enhancing students' abilities as problem solvers, project managers, team members, technical writers, and builders on multiple projects simultaneously. This will involve project planning and budgeting, prototype development and construction, testing, data collection and analysis, marketing, and navigating project challenges outside of students' control. 4 undergraduate hours. No graduate credit. Prerequisite: ETMA 430. Restricted to TSM and ETMAS Majors Only, senior standing required, or consent of instructor.",ETMA 439
1519,Practices and equipment used in precision agriculture. Global positioning systems; geographic information systems; mapping; grid sampling of soil fertility and physical properties; yield monitoring; remote sensing; variable-rate technologies. 3 undergraduate hours. 3 graduate hours.,ETMA 467
1520,"Selected reading and research in European Studies. See schedule for current topics. 1 to 4 undergraduate hours. 1 to 4 graduate hours. Approved for letter and S/U grading. May be repeated to a maximum of 8 hours in same or separate terms if topics vary. Prerequisite: Junior or senior standing, or consent of the instructor.",EURO 490
1521,"Exploration of a variety of subjects about the European Union and EU-US relations and comparative perspectives. This transatlantic relationship will be studied via a series of expert lectures offered by University of Illinois faculty and visiting scholars. 2 graduate hours. No professional credit. Approved for Letter and S/U grading. May be repeated to a maximum of 4 hours in separate terms if topics vary. Prerequisite: Priority given to students in the MAEUS and EUC FLAS Fellowship programs, other graduate students welcome by permission of the instructors.",EURO 500
1522,Introduces students to the role of the EU in international affairs. May be repeated in separate terms to a maximum of 8 hours.,EURO 502
1523,May be repeated in the same term to a maximum of 6 hours. May be repeated in separate terms to a maximum of 12 hours. Prerequisite: Consent of instructor.,EURO 590
1524,"High and street art, tradition and experimentation, the familiar and unfamiliar, international and American creativity provide this course's foundation. Students will attend performances and exhibitions, interact with artists, and examine core issues associated with the creative process in our increasingly complex global society. Faculty from the arts, sciences, humanities, and other domains will lead students through visual arts, music, dance, and theatre experiences at Krannert Center and Krannert Art Museum to spark investigation and dialogue.",FAA 110
1525,"A global course in theorizing Black cultural expression. It surveys artistic and cultural responses to types of racism (racial formations), modes of Black resistance and resiliency, and expressions of Black liberation and self-determination. Topics range from Spirituals, Gospel, and ""ring-shouts"" to Western classical music, ballet and modern dance; from Blues, Jazz, and Hip-Hop to African-inspired architecture and Blues tropes embedded in urban and regional segregationist planning; and from the lineage of Black Art + Design to the power of place of the Black Metropolis. As such, the course attends to the geographies of place and ontologies of time, i.e., moments formed from the intersection of Black social movements against white supremacy and Black reimagining of what it means to be human. Through a series of engagements with faculty-artists and researchers in the College of Fine & Applied Arts, Black Arts Today explores the practice and speculative spaces (imaginaries) in which FAA artists-instructors-researchers engage Black Arts or transmit Blackness to the arts.",FAA 201
1526,"Designed to provide elementary education majors with a philosophical and practical basis for integrating the arts [including visual art, music, & dance] in public schools. Lecture, discussion, arts practices and class activities will focus on the ever expanding role of the arts in children's lives and the role of the teacher in nurturing artistic expressions through the development of skills, processes, and the various knowledges of the multi-modalities of the arts. Additional fees may apply. See Class Schedule. Prerequisite: Completion of applicable Teacher Licensure Gateway requirements. Contact College of Education for further information. Admission to the Elementary Teacher Education Program.",FAA 202
1527,"Provides campus credit for foreign study and/or travel. A detailed proposal for study abroad must be submitted for approval by the appropriate committee of the department in which the student is studying and the college dean's office prior to such study abroad. Final determination of credit and its application toward the degree is made after a review of the student's work abroad by the above committee and college office. (summer session, 0 to 6 undergraduate hours). Approved for Letter and S/U grading. May be repeated to a maximum of 36 hours. Prerequisite: Approval of the student's proposal by the departmental committee and the college office.",FAA 299
1528,"Introduction to techniques and tools for representing and realizing sustainable design ideas. Using a case study method, students are introduced to digital and analog means of representing concepts, data, and spatial forms. Through hands-on assignments, tutorials, and workshops, students learn basic skills to express ideas graphically and in three dimensions. Prerequisite: ARCH 171 and a drawing course. Restricted to Sustainable Design major.",FAA 330
1529,Supervised field experience in a full-time or part-time internship position related to the field of Sustainable Design. Designed to introduce students to professional employment and actual practice. Full documentation and approval of internship activities required. Approved for S/U grading only. May be repeated in separate terms to a maximum of three times. Prerequisite: For Sustainable Design majors only. Registration only with instructor permission (sustaindesign@illinois.edu).,FAA 398
1530,"In design studio format, students work on capstone projects for the Bachelor of Science in Sustainable Design degree. Students receive regular feedback and critique throughout the semester in the form of desk critiques, pin-ups, and formal reviews with Illinois Faculty and guests from other institutions. 5 undergraduate hours. No graduate credit. Prerequisite: FAA 430. Limited to undergraduate majors.",FAA 431
1531,Independent study of a theoretical or creative project on a topic in the field of minoritarian aesthetics. Minoritarian Aesthetics is an interdisciplinary field focusing on performance and aesthetics as inseparable from social life. It values minoritarian practices and community involvement across the arts as a lens to examine the complex worlds we communally navigate and share. Students in this course engage in study beyond the current MA course offerings with attention paid to original research. 1 to 4 undergraduate hours. 1 to 4 graduate hours. Approved for Letter and S/U grading. May be repeated in separate terms to a maximum of 8 hours. Prerequisite: Instructor approval required.,FAA 490
1532,Directed independent creative activity or research. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 12 hours. Prerequisite: 3.3 GPA minimum required to enroll. A contract must be completed & approved. Consent of instructor and faculty administrator for Sustainable Design. Junior or Senior standing in Sustainable Design.,FAA 491
1533,"Following a minoritarian aesthetics compass, informed by the disciplines of relational ethnic and performance studies, students will approach critical theory, embodied practice, and collective learning as inseparable. Working closely with one another and with guest artists, scholars, teachers, and curators, as well as practice-based initiatives such as the Mellon funded Minor Aesthetics Lab, students will be asked to display and/or perform their work within the tradition of fusing aesthetics and social life. Same as AAS 495, ENGL 495, GWS 425, and THEA 468. 3 undergraduate hours. 4 graduate hours.",FAA 495
1534,Supervised experience designed for creative and interdisciplinary research projects led by faculty in the College of Fine and Applied Arts. 0 to 4 undergraduate hours. 0 to 4 graduate hours. Approved for Letter and S/U grading. May be repeated in separate terms to a maximum of six (6) hours. Prerequisite: Instructor permission required.,FAA 497
1535,"Undergraduate examination of Cripistemology and the Arts through independent study and/or group seminars. Crip* is a practice-based, experimental creative research project and transdisciplinary initiative that critically engages notions of access, embodiment, and representation and aims to develop a creative methodology founded in the application of critical epistemologies. Students in this advanced study course are supported in developing in-depth Crip*-informed research praxes in/around Crip/Disabled arts + culture, cripistemology, and other Crip* principles. 1 TO 4 undergraduate hours. No graduate credit. Approved for Letter and S/U grading. May be repeated for a maximum of 8 credit hours. Prerequisite: Consent of instructor.",FAA 498
1536,"Crip*- Cripistemology and the Arts (Crip*) is a practice based creative research project and transdisciplinary initiative focused on how knowledge produced via Crip/Disabled experience can shape and change how we approach our respective mediums. Courses will explore specializations within the Crip* discipline and include attending lectures, screenings, workshops and performances outside of class time. Subjects include Crip* Temporalities: Crip/Disabled Embodiment and Time-Based Praxes, deaf*: Art and Communication, and Crip* Collaboration: Experiments in Crip/Disabled Cultural Formations. 4 graduate hours. No professional credit. Approved for Letter and S/U grading. May be repeated in separate terms to a maximum of 12 graduate hours.",FAA 550
1537,"Cripping Art & Design critically and creatively engages the applied research strategies, creative methodologies, and disciplinary conventions of Art and Design fields via the Crip* principles of interdependence, open access, generative difference, radical alterity, networks of support and collaboration, Crip temporalities, and access ecology. This course will serve to discover and design new crip-centric approaches and strategies specific to Art and Design disciplines. Same as ART 553. 4 graduate hours. No professional credit. Approved for Letter and S/U grading.",FAA 553
1538,"Cripping Music critically and creatively engages the applied research strategies, creative methodologies, and disciplinary conventions of Music via the Crip* principles of interdependence, open access, generative difference, radical alterity, networks of support and collaboration, Crip temporalities, and access ecology. This course will serve to discover and design new crip-centric approaches and strategies specific to Music. Same as MUS 566. 4 graduate hours. No professional credit. Approved for Letter and S/U grading.",FAA 556
1539,Directed research project or creative project in the area of Cripistemology and the Arts. 1 to 4 graduate hours. No professional credit. Approved for Letter and S/U grading. May be repeated in separate terms to a maximum of eight (8) hours. Prerequisite: Instructor approval required. Restricted to graduate students in good standing.,FAA 597
1540,"Introductory study of corporate financial management, in particular how the financial manager's choices add value to shareholder wealth through investment financing and operating decisions. Prerequisite: Completion of ECON 102 or ECON 103.",FIN 221
1541,"Introductory course on the role of insurance in society; covers insurance terminology, common personal insurance policies (auto, health, life and homeowners) and current issues.",FIN 230
1542,"A survey of real estate finance, appraisal, investment, law, brokerage, management, development and economics. Special attention is given to the analysis of aggregate real estate and mortgage markets, to the individual transactions within these markets, and to the legal and institutional factors which affect these markets. Prerequisite: ECON 102.",FIN 241
1543,"Theory and applications associated with the functioning of financial markets to include the conceptual foundations of portfolio theory, risk management, and asset valuation. The stock, money, bond, mortgage, and futures and options markets are examined. Prerequisite: FIN 221.",FIN 300
1544,"Theories of firms' investment and financing decisions are covered. Topics include dividend policy, capital budgeting, capital structure, bankruptcy, long- term debt and leasing decisions. Prerequisite: FIN 300.",FIN 321
1545,"Focuses on the process involved in Entrepreneurship through Acquisition, i.e., acquiring and growing an existing small business. The course will be combination of lectures and presentations by invited speakers, including research professionals, bankers, accountants, and attorneys specializing in small company deals, business brokers, PE and VC professionals, and entrepreneurs who have bought a small business or are in the process of buying a small business. Credit not given toward graduation if the student has received credit for FIN 490, CRN 69357, Section ETA. Prerequisite: Restricted to Undergrad students with Junior and Senior class standing.",FIN 380
1546,A program aimed at preparing students for Golder Academies open to all second-semester students at Gies. Its goals are to equip students with essential technical skills for career advancement and to enhance their job recruitment understanding. Skills developed will also support academic success in upper-level Finance courses. Course will not satisfy Finance major requirements. Prerequisite: Induction into the Finance Academy. Restricted to Freshman students in their second semester.,FIN 390
1547,"A diversified curriculum designed to prepare students for a successful career in investment banking; course incorporates peer mentorship, guest lectures (from bankers, accountants, private equity associates and hedge fund analysts), a case competition and a field trip. Course will not satisfy Finance major requirements. May be repeated for a maximum of 6 hours in separate terms. Prerequisite: Admission by application only.",FIN 391
1548,Overview of security analysis with the objective of how to value an investment proposition for inclusion in a portfolio of securities managed by students in the class. Focus will be in areas of fundamental securities analysis with the emphasis on equity valuation. Course will not satisfy Finance major requirements. May be repeated to a maximum of 6 hours in separate terms. Prerequisite: Admission by application only. Primarily for Finance majors with sophomore standing or above who show interest in pursuing their CFA credential.,FIN 392
1549,"The Risk Management Academy is an enrichment program for outstanding undergraduates from across campus. The nature of risk management requires a knowledge base that includes majors from a number of colleges and departments including Finance, Actuarial Science, Atmospheric Sciences, Financial Planning, Engineering, Math and Statistics. RMA provides a select program that focuses on developing future business leaders in risk management via enhanced academic and career opportunities. Students are normally invited to participate by the faculty during their freshman or sophomore year, when they are enrolled in FIN 230 and other basic RM courses. If inducted/accepted, students participate throughout their sophomore, junior and senior years. Approved for Letter and S/U grading. May be repeated in separate terms to a maximum of 8 hours. Prerequisite: Acceptance into the Risk Management Academy. Restricted to students accepted in the Risk Management Academy.",FIN 393
1550,"Given the unique challenges women face in the business world, this course provides the tools for women to thrive in careers in finance. The course includes a mentoring program, soft and technical skills development, panel discussions with women leaders, and networking opportunities. Admission by application process in the prior semester. May be repeated in separate terms. Prerequisite: Instructor approval required. Students accepted into the Academy will be allowed to participate in their Freshman, Sophomore, Junior, and Senior years.",FIN 394
1551,"The Real Estate Academy prepares students for careers within the real estate industry. Topics include real estate financial modeling, investment case studies, underwriting real estate markets, and developing professional communication skills. Students who choose to repeat the course assume leadership roles over time. May be repeated for a maximum of 6 hours in separate terms. Prerequisite: Admission by application only. Concurrent enrollment or completion of FIN 241 required.",FIN 395
1552,"Current theories of portfolio management are covered in considerable detail to provide a conceptual framework for the evaluation of investment strategies. Applications and implementation are covered in depth, including performance evaluation and international diversification. 3 undergraduate hours. No graduate credit. Prerequisite: FIN 300.",FIN 411
1553,"Introduction of options and futures markets for financial assets; examination of institutional aspects of the markets; theories of pricing; discussion of simple as well as complicated trading strategies (arbitrage, hedging and spread); applications for asset and risk management. 3 undergraduate hours. No graduate credit. Prerequisite: FIN 300 or consent of instructor.",FIN 412
1554,"Conceptual foundations and implementation of strategies for the selection, evaluation, and revision of portfolios of fixed-income financial assets (bonds). 3 undergraduate hours. No graduate credit. Prerequisite: FIN 321.",FIN 415
1555,"Building upon the basic options knowledge gained in FIN 412, this course covers volatility trading looking not only at the CBOE VIX product and OTC variance swaps, but also the application of volatility trading across all asset classes with listed products. The most topical options and derivatives structures such as risk parity, risk premia capture, alternative risk premia and volatility targeting are explored at the conclusion of the course. 3 undergraduate hours. No graduate credit. Prerequisite: FIN 300 and FIN 412.",FIN 416
1556,"The objective is to learn the fundamentals and practice building financial models using Microsoft Excel. By the end of the term, each student should be able to develop an understanding of any financial relationship and build that financial relationship into a model using the built-in functions of Excel. Financial modeling, by definition, requires significant work outside of the classroom. Models are introduced, demonstrated, and reviewed in class, but each student is expected to research and collect date, and to construct the models, prior to each week's class meeting. 3 undergraduate hours. 3 graduate hours. Prerequisite: FIN 300 and FIN 321, or consent of instructor.",FIN 418
1557,"Applies academic topics on financial markets, security analysis/valuation and portfolio management to hands-on investment management. Students will form and review objectives, constraints, and investment policy as it relates to the client's money under management. They will purchase securities, monitor performance of the portfolio, and make recommendations for any adjustments to the holdings. They will be fully educated and responsible to the fiduciary and ethical standards of professional money management as guided by the CFA Institute. 3 undergraduate hours. No graduate credit. May be repeated to a maximum of 9 hours. Prerequisite: FIN 321 or consent of instructor.",FIN 419
1558,"The study of the financial side of entrepreneurial firms, including alternative methods of organization, sources of financing, use of financial statements as a management tool, financial planning, valuation methods, and exit strategies, all from the perspective of an owner, CEO or CFO. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: FIN 300 or consent of instructor.",FIN 423
1559,Focuses on identifying ways to increase firm value through mergers and acquisitions (M&A) and corporate restructurings. Surveys the drivers of success (failure) in M&A transactions and develop your skills in the design and evaluation of transactions. 3 undergraduate hours. No graduate credit. Prerequisite: FIN 321.,FIN 424
1560,"Provides students with an understanding of the nature of the private equity market, the principal participants in this market, and how they function. 3 undergraduate hours. No graduate credit. Prerequisite: FIN 321.",FIN 425
1561,"Covers management of tradable financial market risks in the context of financial institutions which incur these risks through their operations, product offerings, assets, and liabilities. We examine the models and methods in practice to measure and manage interest rate, equity, credit, and other market risks with a focus on using financial derivatives such as futures, swaps, and options. Course is applications-oriented with heavy emphasis on numerical modeling. 3 undergraduate hours. No graduate credit. Prerequisite: FIN 300.",FIN 432
1562,"Studies the purpose, structure, and financial aspects of employee benefit plans, including pensions, health insurance, life insurance, and disability plans. 3 undergraduate hours. No graduate credit. Prerequisite: FIN 300 or consent of instructor.",FIN 434
1563,"Studies personal wealth management techniques with an emphasis on life insurance products; covers life insurance policies, annuities, trusts, buy-sell arrangements, investing in stocks, bonds and mutual funds, banking and barrowing, purchasing residential and commercial real estate, income and estate taxation and management of personal financial portfolio. 3 undergraduate hours. No graduate credit. Prerequisite: FIN 300.",FIN 435
1564,"Overview of legal concepts, issues, and principles involving real estate. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Junior standing or consent of instructor.",FIN 443
1565,"An approach to the evaluation of real estate investment opportunities. Begins with the identification of the investor's goals and ends with an investment decision. Considers legal, physical, locational, and financial constraint, aggregate real estate and financial markets, tax considerations and investment criteria. 3 undergraduate hours. No graduate credit. Prerequisite: FIN 300 or consent of the instructor, FIN 241 is recommended but not required.",FIN 445
1566,"Survey of the structure, functions, regulation, and risk management activities of banks and nonbank financial institutions; central banking and monetary policy effects on financial institutions. 3 undergraduate hours. No graduate credit. Prerequisite: FIN 300 or consent of instructor.",FIN 461
1567,"The mechanics of financial statement analysis and ratio analysis; development of investment banking/corporate finance valuation models (including DCF, leveraged buyout and merger models) in order to determine the intrinsic value of companies and price investment banking deals. 3 undergraduate hours. No graduate credit. Prerequisite: FIN 300 (FIN 300 is waived if student is admitted to FIN 391 IBA). Priority to finance majors.",FIN 463
1568,"Provides key building blocks necessary for many careers in finance. Designed to provide a practical approach to analyzing and interpreting complex financial statements to make decisions from a range of user perspectives, including investment banks, equity investors and commercial banks. Advanced financial analysis and forecasting will be applied through assignments and casework. There will be an emphasis on business writing skills commonly applied by finance professionals. 3 undergraduate hours. 4 graduate hours. Credit is not given for FIN 464 and FIN 490 CRNs 57268 and 57353. Prerequisite: ACCY 201. Priority given to finance majors.",FIN 464
1569,Lectures and discussions relating to new areas of interest. See class schedule for topics and prerequisites. 1 to 3 undergraduate hours. No graduate credit. May be repeated in the same term or subsequent terms to a maximum of 3 undergraduate hours or 4 graduate hours. Credit is not given for FIN 490 CRNs 57268 and 57353 and FIN 464. Course will not satisfy Finance major requirements. Prerequisite: FIN 300 or consent of instructor.,FIN 490
1570,"Introduction to financial management and decision making. A customized course, designed to provide a survey of finance for graduate students who do not necessarily have previous training in the disciplines. Different sections of the course will cover different sets of topics. Prerequisite: Graduate standing or consent of department.",FIN 500
1571,"A firm's long-run value ultimately depends on its business fundamentals. This course covers micro- and macro-economic drivers of such fundamentals, such as consumer demand, market competitiveness, government regulation, interest rates, business cycles, and monetary policy. Also includes topics in risk and intertemporal decision-making. 2 or 4 graduate hours. No professional credit.",FIN 501
1572,"Quantitative methods used for financial decision making. Topics include elements of statistics, mathematics, and specific analytical tools used in the study and practice of finance. Approved for letter or S/U grading. May be repeated in the same or separate terms to a maximum of 4 hours. Material may be split into two 8-week 2-hour modules, either across semesters or within the same semester; if so, credit is not given for taking the same half twice. Prerequisite: Graduate standing.",FIN 502
1573,"This course covers topics in time series analysis with an emphasis on applications. It is intended to prepare MSF students for more advanced courses in finance. This course provides some basic knowledge of financial time series data. It also introduces models and methods widely used by academics and practitioners. The purpose of this course is to understand proper use and limitations of econometric methods in applied time series analysis. 2 graduate hours. No professional credit. Credit is not given for FIN 503 and FIN 580: Section QM2, (68387). This course covers topics in time series analysis with an emphasis on applications. It is intended to prepare MSF students for more advanced courses in finance. This course provides some basic knowledge of financial time series data. It also introduces models and methods widely used by academics and practitioners. The purpose of this course is to understand proper use and limitations of econometric methods in applied time series analysis. Prerequisite: FIN 580 Section Q1M.",FIN 503
1574,"This course will develop an understanding of the most fundamental accounting concepts and provide key building blocks necessary for intermediate and advanced financial statement analysis. It is designed to provide a basic but practical application of financial analyses commonly performed by industry professionals. 2 graduate hours. No professional credit. Credit is not given for FIN 504 and FIN 580 (58811), Section FS.",FIN 504
1575,"Introduction to investment analysis, including the theory and implementation of portfolio theory; empirical evidence on the performance of financial assets; evaluation of portfolio investment strategies; and the extension of diversification to international markets. Prerequisite: FIN 520; or MBA 505 - Section G (Finance II); or consent of instructor.",FIN 511
1576,"Introduction to options, futures, swaps and other derivative securities; examination of institutional aspects of the markets; theories of pricing; discussion of simple as well as complicated trading strategies (arbitrage, hedging, and spread); applications for asset and risk management. 4 graduate hours. No professional credit.",FIN 512
1577,"Provides an introduction to modern techniques for pricing options, swaps, and related financial instruments; the use of such instruments in managing financial risk; and the measurement and management of their risks. Prerequisite: FIN 520; or MBA 505 - Section G (Finance II); or consent of instructor.",FIN 513
1578,"Conceptual foundations and implementation of strategies for the selection, evaluation, and revision of portfolios of fixed-income financial assets (bonds); examination of related research. Prerequisite: FIN 520; or MBA 505 - Section G (Finance II); or consent of instructor.",FIN 515
1579,"The objective is to learn the fundamentals and practice building financial models using Microsoft Excel. By the end of the term, each student should be able to develop an understanding of any financial relationship and build that financial relationship into a model using the built-in function of Excel. Financial modeling, by definition, requires significant work outside of the classroom. Models are introduced, demonstrated, and reviewed in class, but each student is expected to research and collect data, and to construct the models, prior to each week's class meeting. Prerequisite: MSF students only.",FIN 518
1580,"Addresses both the theoretical and applied aspects of firms' financing decisions; topics include capital structure and cost of capital theories; mergers, acquisitions and leveraged buyouts; options, warrants, and convertibles; venture capital and initial public offerings; and pensions. Prerequisite: FIN 520, plus either ECON 506 or BADM 572 or concurrent registration in either course; or MBA 505 - Section G (Finance II); or consent of instructor.",FIN 521
1581,"Provides key building blocks necessary for a career in investment banking, valuation and other related fields. It is designed to provide a practical application of financial statement analysis, modeling, valuation, and presentation skills commonly performed by industry professionals. The course has three major parts. The first focuses on the mechanics of financial statement analysis, ratio analysis, and financial model building. The second applies the financial statements and forecasts within the context of company valuation, utilizing common industry techniques. In the third part of the course, we will employ these valuation techniques in common investment-banking deliverables such as pitch books and fairness opinions. 4 graduate hours. No professional credit. Credit is not given for FIN 526 if the student has received credit for FIN 563 Behavioral Finance (67127, 67128). Prerequisite: Previous introductory accounting and finance coursework recommended. Graduate students only.",FIN 526
1582,"Provides key building blocks necessary for many careers in finance. Designed to provide a practical approach to analyzing and interpreting complex financial statements to make decisions from a range of user perspectives, including investment banks, equity investors and commercial banks. Advanced financial analysis and forecasting will be applied through assignments and casework. There will be an emphasis on business writing skills commonly applied by finance professionals. 4 graduate hours. No professional credit. Credit is not given for FIN 529 if the student has received credit for FIN 564 Applied Financial Analysis (71521, 71522, 73395, 75067, 75850). Prerequisite: ACCY 501 or equivalent. A baseline understanding of financial accounting is expected of all students coming into this course.",FIN 529
1583,"Covers management of tradable financial market risks in the context of financial institutions which incur these risks through their operations, product offerings, assets, and liabilities. We examine the models and methods in practice to measure and manage interest rate, equity, credit, and other market risks with a focus on using financial derivatives such as futures, swaps, and options. Course is applications-oriented with heavy emphasis on numerical modeling. 4 graduate hours. No professional credit. Credit is not given if the student has received graduate credit in FIN 432.",FIN 532
1584,"Survey of the structure, functions, regulation, and risk management activities of banks and nonbank financial institutions; central banking and monetary policy effects on financial institutions. 4 graduate hours. No professional credit. Credit is not given for FIN 536 if the student has received credit for FIN 561 Banking and Financial Regulation (32674, 40803, 45887, 51669). Prerequisite: FIN 520 or consent of instructor.",FIN 536
1585,"Covers selected topics in financial risk management. The focus is on statistical techniques used in financial risk management rather than risk management practice, cases, or valuation issues. The course will cover the value-at-risk (VaR) measure and expected shortfall, statistical techniques useful to model financial market returns, and techniques used to model the joint distribution of defaults on fixed income instruments. The course will also cover additional topics such as retail credit risk, risk budgeting, and economic capital modelling. 4 graduate hours. No professional credit. Credit is not given for FIN 537 if the student has received credit for FIN 567 Financial Risk Management (65639, 65640). Prerequisite: FIN 500 or 511; IE 522 or FIN 502; FIN 512 (concurrent enrollment allowed); or consent of instructor.",FIN 537
1586,"This course examines the fundamentals of real estate from a legal perspective. Students develop skills in using legal concepts in a real estate transactional setting that incorporates traditional course materials, case studies, real life transactions, and guest lectures designed to provide a practical ""hands-on"" approach to real estate law. We explore a broad range of current sophisticated real estate transactions relating to residential and commercial purchases, sales, leasehold interests, common interest communities, ownership, financing, brokerage, land use and development. We discuss the legal implications that contractual private and legislative public restrictions have on individuals' real property rights and discuss public policy arguments related to private owners’ legal rights. 4 graduate hours. No professional credit. Prerequisite: Restricted to graduate students.",FIN 543
1587,"Recent trends in ""big data"" present both enormous challenges and opportunities for businesses. This course introduces concepts and techniques of data analytics and shows how they can be used for making predictions, and to distinguish between correlation and causation, in the context of financial and economic analysis. Covered tools include data visualization, machine learning, regression analysis, randomized trials, A/B testing, and quasi-experiments. Students will apply these tools using R programming within the Amazon Web Services cloud computing environment. 4 graduate hours. No professional credit. Credit is not given for FIN 550 if the student has received credit for FIN 510 Big Data Analytics in Finance for Predictive and Causal Analysis (71511, 71512, 71513, 72873, 72874, 72875). Prerequisite: Consent of Instructor.",FIN 550
1588,"Explores the characteristics of the international financial market and examines various aspects of corporate financial management. Topics may include international parity conditions, exchange rate risk management, country risk, cross-border investment analysis, multi national firm budgeting, hedging in foreign currency markets, accessing international financial markets for financing, and competitive strategy in a global marketplace. Prerequisite: FIN 520; or MBA 505 - Section G ( Finance II); or consent of instructor.",FIN 551
1589,"Recent years have seen the rapid development of the fintech sector, bringing together technology and data, startups and established firms in ways that are likely to shape and disrupt financial markets going forward. This course will involve a mix of lectures, guest speakers, and class discussion of breaking developments and new ventures. Some of the fintech sectors we will discuss include consumer finance, payments, investing and trading, cryptocurrencies and blockchain, and privacy and regulatory concerns. Because of the innovative and rapidly evolving nature of the fintech sector, this class will depend heavily on student engagement and class discussion. Students should be prepared to participate actively, and not just sit and listen to lectures. Each student will participate in two group presentations on the fintech sector, at the middle and end of the semester. A group project is due at the end of the semester, detailing a fintech startup idea, an analysis of an existing fintech business, or an analysis of a fintech sector. 4 graduate hours. No professional credit. Credit is not given for FIN 555 and FIN 580: Section FT2 (72037).",FIN 555
